qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,eta_geometric,eta_atmospheric,eta_optical
0.019821734637213855,9.977378108360592e-05,1.977689412390704e-06,1.9341994420029083e-10,7966.328042812009,157.90644049761485,4.0350717539946864e-05,3224.9080788999486,0.0013761277439084429,0.0009777875781840216,0.71053547355054,False,True,0.0,0.0,20000,0.01975243775970005,0.3981071705534972,0.7
0.019943486918459805,9.855216868622684e-05,1.965473886979609e-06,1.8984798143174562e-10,7868.78974173737,156.93110527844993,3.965987607969132e-05,3169.694681412988,0.0013761277439084429,0.0009655702427028976,0.7016574202337565,False,True,0.02,63.94602760312937,20000,0.01975243775970005,0.3981071705534972,0.7
0.019399003457186453,0.0001042609897307624,2.022559300236741e-06,2.0679406859668882e-10,8324.604292259117,161.4890274452438,4.28912263422167e-05,3427.9504994676995,0.0013761277439084429,0.001022664242855657,0.7431463011937482,False,True,0.04,129.92247941193625,20000,0.01975243775970005,0.3981071705534972,0.7
0.01930091708100219,0.00010536045592965778,2.03355342351491e-06,2.1013184613715422e-10,8412.389964178725,162.36684115166852,4.351436702538649e-05,3477.7531187508894,0.0013761277439084429,0.0010336600573238744,0.7511367036232404,False,True,0.06,198.97951559412212,20000,0.01975243775970005,0.3981071705534972,0.7
0.018931934131603673,0.00010971271365069782,2.0770738682345062e-06,2.2357943944886313e-10,8759.891205046935,165.84168329396292,4.598341941748363e-05,3675.0846035904965,0.0013761277439084429,0.0010771873153070126,0.7827669488354422,False,True,0.08,270.507892817536,20000,0.01975243775970005,0.3981071705534972,0.7
0.018703762324349827,0.00011258870429312085,2.1058323655050373e-06,2.3267150564432853e-10,8989.521521316108,168.13787394432416,4.761689112729679e-05,3805.634849900637,0.0013761277439084429,0.0011059504187706046,0.8036684266167853,False,True,0.1,345.31508735244734,20000,0.01975243775970005,0.3981071705534972,0.7
0.018921326266946217,0.00010984315991706316,2.078378266983101e-06,2.239882819305842e-10,8770.306544012146,165.9458315803873,4.60574770576085e-05,3681.003434691989,0.0013761277439084429,0.0010784919211876077,0.7837149755621543,False,True,0.12,420.1814701983735,20000,0.01975243775970005,0.3981071705534972,0.7
0.018706204154023347,0.00011255712830858483,2.105516621130988e-06,2.325707930024565e-10,8987.000371487396,168.1126636813269,4.759894918768333e-05,3804.2008950780664,0.0013761277439084429,0.0011056346233752358,0.8034389454535962,False,True,0.14,495.03351349607414,20000,0.01975243775970005,0.3981071705534972,0.7
0.01880626344876925,0.00011127829303977073,2.092728895035274e-06,2.285084990373283e-10,8884.89317304862,167.09164172652373,4.687243944742098e-05,3746.1368190563185,0.0013761277439084429,0.001092844839283738,0.7941449070562795,False,True,0.16,570.536890637418,20000,0.01975243775970005,0.3981071705534972,0.7
0.018908577991562977,0.00011000033807052182,2.0799499715047557e-06,2.2448135467638313e-10,8782.856261162444,166.07132260287727,4.614671515340276e-05,3688.1355174309797,0.0013761277439084429,0.0010800638755141632,0.7848572781815977,False,True,0.18,644.879614002291,20000,0.01975243775970005,0.3981071705534972,0.7
0.01885568766404167,0.00011065727542511066,2.0865190231697203e-06,2.2654748316902736e-10,8835.308703210787,166.59582132313162,4.6519740159686396e-05,3717.9484037868388,0.0013761277439084429,0.0010866339739311706,0.7896316157720508,False,True,0.2,718.9404532144692,20000,0.01975243775970005,0.3981071705534972,0.7
0.019415994153487142,0.00010407286571458814,2.0206781522510956e-06,2.062253570392227e-10,8309.583736665261,161.33882924900456,4.278462897413616e-05,3419.431029815838,0.0013761277439084429,0.0010207828067104916,0.7417791053403882,False,True,0.22,790.314247550496,20000,0.01975243775970005,0.3981071705534972,0.7
0.018940107486015496,0.00010961241600321691,2.076070940902773e-06,2.2326531741265127e-10,8751.883049466607,165.7616056619346,4.592648000929506e-05,3670.533894986782,0.0013761277439084429,0.0010761842288311676,0.7820380292418323,False,True,0.24,861.2138967985222,20000,0.01975243775970005,0.3981071705534972,0.7
0.019174175911083786,0.00010681593208700431,2.0481074719426e-06,2.1458722509202276e-10,8528.600860488226,163.52889317442182,4.4339657674862924e-05,3543.711957780264,0.0013761277439084429,0.001048216363149539,0.7617144322462547,False,True,0.26,933.3563553261928,20000,0.01975243775970005,0.3981071705534972,0.7
0.01878214362386518,0.0001115838976075371,2.095784790975428e-06,2.294763245780692e-10,8909.29383434228,167.3356363838332,4.704602858028283e-05,3760.010401265141,0.0013761277439084429,0.0010959012255378697,0.7963659118050472,False,True,0.28,1006.3935789166469,20000,0.01975243775970005,0.3981071705534972,0.7
0.018717069090251417,0.0001124168452302011,2.1041138590817746e-06,2.321235942256905e-10,8975.799623063082,168.00066168512433,4.7519240318484e-05,3797.8304067221557,0.0013761277439084429,0.0011042316347734385,0.8024194262933962,False,True,0.3,1081.9719869965197,20000,0.01975243775970005,0.3981071705534972,0.7
0.018166246472681592,0.00011999903444275402,2.179932036170877e-06,2.5685304688431114e-10,9581.19119882438,174.05428081973128,5.183195364575025e-05,4142.510870887669,0.0013761277439084429,0.0011800623390292489,0.8575238339993538,False,True,0.32,1161.375399772618,20000,0.01975243775970005,0.3981071705534972,0.7
0.018384092992255213,0.00011688124407312904,2.1487556600908826e-06,2.4654649221938987e-10,9332.254648726712,171.56503728959788,5.005749358229167e-05,4000.6925602549595,0.0013761277439084429,0.0011488807421803006,0.8348648933690406,False,True,0.34,1242.8074340840444,20000,0.01975243775970005,0.3981071705534972,0.7
0.018482008379791373,0.00011553205756713169,2.1352644560902674e-06,2.421461295995794e-10,9224.530332969813,170.4878469135878,4.9290071568449555e-05,3939.3586954998905,0.0013761277439084429,0.001135387309093658,0.8250595296254692,False,True,0.36,1322.2079466415928,20000,0.01975243775970005,0.3981071705534972,0.7
0.018351930671222937,0.00011733131385011341,2.153256137340781e-06,2.4802241007001605e-10,9368.189976091006,171.92437295606783,5.031355715953917e-05,4021.157660984828,0.0013761277439084429,0.0011533819670718423,0.8381358287247638,False,True,0.38,1401.8131102064401,20000,0.01975243775970005,0.3981071705534972,0.7
0.019140666940751193,0.00010720748995356695,2.0520228587551546e-06,2.1579298952564924e-10,8559.864368585288,163.84151293709448,4.4561751783450565e-05,3561.4621522929465,0.0013761277439084429,0.001052132360872782,0.7645600966408413,False,True,0.4,1477.639308339218,20000,0.01975243775970005,0.3981071705534972,0.7
0.01881310724731167,0.00011119188493638264,2.0918648563389053e-06,2.2823518679464941e-10,8877.99401287176,167.02265350514733,4.682336097476184e-05,3742.214371758527,0.0013761277439084429,0.0010919806621230335,0.7935169296286535,False,True,0.42,1550.6760735797325,20000,0.01975243775970005,0.3981071705534972,0.7
0.018252131435539797,0.00011875020548122194,2.167444358440621e-06,2.5270165208952303e-10,9481.479821056784,173.05721589734674,5.112102315889817e-05,4085.6919191970123,0.0013761277439084429,0.0011675725584511165,0.8484478011721548,False,True,0.44,1628.955136489288,20000,0.01975243775970005,0.3981071705534972,0.7
0.01786574618438303,0.0001245831511358015,2.22577095704286e-06,2.723564687138294e-10,9947.204964833165,177.71423914574405,5.4443444455830945e-05,4351.226312021143,0.0013761277439084429,0.001225909112611846,0.890839617207375,False,True,0.46,1713.3243188014696,20000,0.01975243775970005,0.3981071705534972,0.7
0.017617641155244872,0.00012864053815942315,2.266342839310302e-06,2.864256756343773e-10,10271.162578504576,180.95365655527328,5.6757128564474495e-05,4536.140460489512,0.0013761277439084429,0.0012664881206311776,0.9203274377959494,False,True,0.48,1802.197986526576,20000,0.01975243775970005,0.3981071705534972,0.7
0.017661139261700955,0.00012791019482640765,2.2590397638204867e-06,2.838691105531217e-10,10212.849116676294,180.37055050835963,5.634050972384584e-05,4502.84346983166,0.0013761277439084429,0.0012591837503302453,0.91501952191876,False,True,0.5,1892.5878258297878,20000,0.01975243775970005,0.3981071705534972,0.7
0.017260433190184422,0.0001349691308069752,2.3296256650310577e-06,3.0902124956429287e-10,10776.46211243205,186.00640431818707,6.0369753930056864e-05,4824.8685287319595,0.0013761277439084429,0.0013297823895975541,0.9663219097819655,False,True,0.52,1985.864945815424,20000,0.01975243775970005,0.3981071705534972,0.7
0.01694388574683186,0.0001411214669015812,2.3911460116057056e-06,3.3174786188481405e-10,11267.688635341858,190.91842886810824,6.388573521962985e-05,5105.872613845929,0.0013761277439084429,0.0013913142447271386,1.0110356766556885,False,True,0.54,2085.172357241203,20000,0.01975243775970005,0.3981071705534972,0.7
0.01683508661211492,0.00014336764077486406,2.413606649819415e-06,3.4023198324039656e-10,11447.031922941342,192.71177387436188,6.517027812402842e-05,5208.535789190642,0.0013761277439084429,0.001413779178974526,1.0273604214672298,False,True,0.56,2188.3164412715687,20000,0.01975243775970005,0.3981071705534972,0.7
0.016838460262596028,0.00014329691759439088,2.4128994526656484e-06,3.399633281409087e-10,11441.385108219463,192.6553084938114,6.512982610118863e-05,5205.30278459451,0.0013761277439084429,0.0014130718457861162,1.0268464189034847,False,True,0.58,2292.4548270094197,20000,0.01975243775970005,0.3981071705534972,0.7
0.01694707822791143,0.00014105662009457817,2.3904975753075996e-06,3.3150441013291654e-10,11262.511013210027,190.86665518358433,6.3848657338143e-05,5102.909277210414,0.0013761277439084429,0.0013906656851524586,1.0105643835089941,False,True,0.6,2395.536947627469,20000,0.01975243775970005,0.3981071705534972,0.7
0.01731585721820557,0.0001339466898664689,2.3194017565790383e-06,3.053170113806356e-10,10694.8264377286,185.19008756919854,5.978580760080323e-05,4778.198398690537,0.0013761277439084429,0.0013195566052548965,0.9588910703210776,False,True,0.62,2494.3480243864788,20000,0.01975243775970005,0.3981071705534972,0.7
