sigma,mean_bits,p05_bits,p95_bits
0,503548.4680638545,503548.4680638545,503548.4680638545
0.2,490066.4131922944,471004.13863545214,514320.48982841196
0.4,477365.0449364635,441363.0290539298,525883.8316548908
0.6,465688.97787393804,413516.44281139853,537467.6131542168
0.8,455537.625171261,382850.99814396066,548380.5272863742
