seed,mean_qber,median_qber,p95_qber,mean_rate_bps,median_rate_bps,p05_rate_bps,outage_fraction,pooled_qber,integrated_rate_bits,time_outage_fraction,rate_at_mean_efficiency_bps,rate_at_mean_efficiency_scope
1000,0.017919423587413157,0.017760067060702923,0.022107046838014444,4776.876687112376,4428.524369397526,2377.5230321396675,0.0,0.017324584372386924,477603.6065179534,0.0,4770.838112387467,single continuously open gate at mean eta; includes unavailable samples in mean eta
1001,0.017153444329569414,0.016969784263754256,0.02102191301743518,5459.913656548312,5081.912266417862,2734.991239569678,0.0,0.016588432281370035,545877.7538999884,0.0,5454.064081648612,single continuously open gate at mean eta; includes unavailable samples in mean eta
1002,0.018099712603186557,0.017854458842242703,0.021839666344120368,4550.809099214335,4359.381786315065,2459.354864383947,0.0,0.01760521377415214,454981.0010308047,0.0,4545.838868143958,single continuously open gate at mean eta; includes unavailable samples in mean eta
1003,0.018985557492735176,0.018766499177570353,0.02370785751851955,4126.359950201733,3769.0505161428077,1956.2750225149316,0.0,0.018201866035551417,412575.02745130257,0.0,4118.619785409841,single continuously open gate at mean eta; includes unavailable samples in mean eta
1004,0.01764889051844353,0.017191670466252973,0.02185466848192998,5018.758269327199,4883.782706369815,2454.662852928372,0.0,0.017045454362699938,501806.251330904,0.0,5012.651426301187,single continuously open gate at mean eta; includes unavailable samples in mean eta
1005,0.017335105139602115,0.017056692326993413,0.021684417226822433,5432.497600773048,5002.807556916041,2508.6376432007796,0.0,0.01661691993410621,543110.7946895579,0.0,5425.046819219202,single continuously open gate at mean eta; includes unavailable samples in mean eta
1006,0.017718515120431308,0.017186185908555675,0.02210566095288338,4987.464628207445,4888.530822730381,2377.937596731058,0.0,0.017081434466553323,498613.1877763915,0.0,4981.018670371851,single continuously open gate at mean eta; includes unavailable samples in mean eta
1007,0.017464864136363743,0.017183039161318123,0.021088014364598225,5039.4937926233915,4891.258375824436,2711.159775783312,0.0,0.017020686878287415,503888.940520031,0.0,5034.9625074773985,single continuously open gate at mean eta; includes unavailable samples in mean eta
1008,0.01768602481432631,0.017396721794976266,0.02221429627568174,5162.87941313306,4711.375854362892,2345.735324000723,0.0,0.016891584154895858,516194.1425280277,0.0,5154.776736829533,single continuously open gate at mean eta; includes unavailable samples in mean eta
1009,0.01720336126920854,0.01708527059825822,0.020541867716887076,5367.429832386438,4977.224110047133,2917.2564185322517,0.0,0.016678636637885526,536647.11633422,0.0,5362.014420175074,single continuously open gate at mean eta; includes unavailable samples in mean eta
1010,0.017427378976025993,0.017154552216839238,0.02124517340323309,5219.911107861339,4916.060910021339,2655.652632210681,0.0,0.01682923112438256,521932.3021685474,0.0,5213.743026711495,single continuously open gate at mean eta; includes unavailable samples in mean eta
1011,0.017605387870480813,0.017169639796012038,0.02235984452877239,5151.672005446323,4902.8998814605775,2303.504733293594,0.0,0.01690218942330211,515097.25546130666,0.0,5144.544023252429,single continuously open gate at mean eta; includes unavailable samples in mean eta
