qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,elevation_deg,atmospheric_path_m,eta_atmospheric,eta_geometric,eta_pointing,eta_optical
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-600.0,0.0,4833139.807628792,-15.771159154053008,505212.8264405012,8.868940383288782e-06,0.00021402492043231565,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-598.0,0.0,4819544.188993618,-15.689593288104405,505212.8264405012,8.868940383288782e-06,0.00021523399270872526,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-596.0,0.0,4805943.129331295,-15.607925260710052,505212.8264405012,8.868940383288782e-06,0.00021645382914365824,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-594.0,0.0,4792336.649451596,-15.52615416089519,505212.8264405012,8.868940383288782e-06,0.00021768455712990086,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-592.0,0.0,4778724.770219252,-15.444279066886075,505212.8264405012,8.868940383288782e-06,0.00021892630594457692,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-590.0,0.0,4765107.512554655,-15.362299045949994,505212.8264405012,8.868940383288782e-06,0.00022017920678256544,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-588.0,0.0,4751484.89743455,-15.280213154232415,505212.8264405012,8.868940383288782e-06,0.0002214433927906096,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-586.0,0.0,4737856.945892753,-15.19802043659121,505212.8264405012,8.868940383288782e-06,0.00022271899910213406,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-584.0,0.0,4724223.679020887,-15.115719926428032,505212.8264405012,8.868940383288782e-06,0.0002240061628727838,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-582.0,0.0,4710585.117969116,-15.033310645516504,505212.8264405012,8.868940383288782e-06,0.00022530502331670666,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-580.0,0.0,4696941.28394691,-14.950791603827428,505212.8264405012,8.868940383288782e-06,0.00022661572174359173,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-578.0,0.0,4683292.198223808,-14.868161799350883,505212.8264405012,8.868940383288782e-06,0.0002279384015964871,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-576.0,0.0,4669637.882130209,-14.785420217914918,505212.8264405012,8.868940383288782e-06,0.00022927320849041157,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-574.0,0.0,4655978.357058172,-14.702565833001193,505212.8264405012,8.868940383288782e-06,0.00023062029025178076,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-572.0,0.0,4642313.644462229,-14.61959760555712,505212.8264405012,8.868940383288782e-06,0.00023197979695866784,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-570.0,0.0,4628643.765860211,-14.536514483804586,505212.8264405012,8.868940383288782e-06,0.00023335188098191903,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-568.0,0.0,4614968.742834103,-14.453315403045254,505212.8264405012,8.868940383288782e-06,0.00023473669702714237,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-566.0,0.0,4601288.5970308995,-14.369999285462221,505212.8264405012,8.868940383288782e-06,0.00023613440217759414,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-564.0,0.0,4587603.350163488,-14.286565039918049,505212.8264405012,8.868940383288782e-06,0.00023754515593798215,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-562.0,0.0,4573913.0240115365,-14.203011561749086,505212.8264405012,8.868940383288782e-06,0.0002389691202792111,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-560.0,0.0,4560217.640422414,-14.119337732555914,505212.8264405012,8.868940383288782e-06,0.00024040645968408932,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-558.0,0.0,4546517.221312113,-14.035542419990042,505212.8264405012,8.868940383288782e-06,0.00024185734119402467,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-556.0,0.0,4532811.788666201,-13.95162447753643,505212.8264405012,8.868940383288782e-06,0.0002433219344567301,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-554.0,0.0,4519101.364540787,-13.867582744292188,505212.8264405012,8.868940383288782e-06,0.000244800411774967,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-552.0,0.0,4505385.9710635,-13.783416044740877,505212.8264405012,8.868940383288782e-06,0.00024629294815635037,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-550.0,0.0,4491665.630434502,-13.699123188522758,505212.8264405012,8.868940383288782e-06,0.00024779972136424204,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,-548.0,0.0,4477940.364927497,-13.614702970200677,505212.8264405012,8.868940383288782e-06,0.0002493209119697611,0.7943282347242815,0.7
