time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-140.0,0.0013774607704359577,5.323995919393355e-05,True,True,True,13974.607704359578,732.3995919393356,0.7333595520925467,0.719769169197404,0.010234921717457851,0.7300040909148618,0.03614587936821522,0.3650020454574309,0.18813681985240757,1.5800547558505231
-138.0,0.0014345779880275738,5.645822554198858e-05,True,True,True,14545.779880275739,764.5822554198859,0.8099372760563296,0.7949277794577698,0.011121360051449956,0.8060491395092197,0.0360409737877647,0.4030245697546099,0.20816795823666492,1.9763595339395956
-136.0,0.0014936761002489459,5.982123208145536e-05,True,True,True,15136.761002489458,798.2123208145536,0.8935354464751537,0.8769767355218024,0.012082252863955974,0.8890589883857584,0.035943384391927194,0.4445294941928792,0.23005030975864954,2.41457780193491
-134.0,0.0015547581951124486,6.333405076536308e-05,True,True,True,15747.581951124486,833.3405076536308,0.9846913445711609,0.9664433618891733,0.013122989141519532,0.9795663510306929,0.03585249317479303,0.48978317551534645,0.253926207188083,2.8985543188816427
-132.0,0.0016178157007348476,6.700196353144458e-05,True,True,True,16378.157007348476,870.0196353144457,1.0839682858123472,1.0638805348471532,0.014249195299967099,1.0781297301471202,0.03576774332107025,0.5390648650735601,0.27994493160284817,3.432425457672574
-130.0,0.0016828266234633642,7.083047398840558e-05,True,True,True,17028.26623463364,908.3047398840558,1.191954073802182,1.1698651650122511,0.015466716222564127,1.1853318812348153,0.03568863236288322,0.5926659406174076,0.3082623102080976,4.02063269948352
-128.0,0.0017497536567603958,7.482531960452213e-05,True,True,True,17697.53656760396,948.2531960452213,1.3092587659627792,1.2849960044190245,0.016781589158856285,1.3017775935778808,0.035614706182325005,0.6508887967889404,0.3390401323476099,4.667935142039227
-126.0,0.0018185421737182987,7.899248442669066e-05,True,True,True,18385.421737182987,989.9248442669066,1.436511643367229,1.4098906725065021,0.018200009433620018,1.4280906819401222,0.03554555374621899,0.7140453409700611,0.3724453551273479,5.379420629514185
-124.0,0.0018891181229897397,8.333821235936319e-05,True,True,True,19091.181229897396,1033.3821235936318,1.574357273056405,1.5451817914068673,0.019728286888984318,1.5649100782958516,0.035480802475903045,0.7824550391479258,0.4086490689760544,6.160515053617588
-122.0,0.001961385856094121,8.786902103429134e-05,True,True,True,19813.858560941208,1078.6902103429134,1.7234505504549582,1.6915121202338004,0.021372791991941368,1.7128849122257417,0.03542011416870002,0.8564424561128708,0.44782519324155495,7.016989315835197
-120.0,0.002035225923506692,9.259171630315267e-05,True,True,True,20552.25923506692,1125.9171630315268,1.884450613221535,1.8495285817192642,0.023139890595569135,1.8726684723148332,0.03536318139949724,0.9363342361574166,0.49014887286657466,7.954963381943326
-118.0,0.002110492887570825,9.751340738669152e-05,True,True,True,21304.928875708247,1175.134073866915,2.058013527324088,2.019875083828109,0.02503586645812236,2.0449109502862317,0.03530972434084479,1.0224554751431159,0.535794549647709,8.980906804457609
-116.0,0.0021870132119141765,0.00010264152271479642,True,True,True,22070.132119141766,1226.4152271479643,2.2447836626824884,2.2031840552245003,0.027066830812944843,2.230250886037445,0.03525948794849447,1.1151254430187225,0.5849336859169229,10.101635040022241
-114.0,0.002264583299372227,0.00010798382649360808,True,True,True,22845.83299372227,1279.8382649360808,2.445383700797331,2.40006663807612,0.029238618557565856,2.429305256633686,0.035212239466549264,1.214652628316843,0.6377321250768091,11.324300851015973
-112.0,0.0023429677629454135,0.00011354843603604118,True,True,True,23629.677629454134,1335.4843603604118,2.6604032516531375,2.6111015159052595,0.031556671004070565,2.64265818690933,0.0351677662125981,1.321329093454665,0.6943470826067849,12.656380058699568
-110.0,0.0024218980263654806,0.00011934383989381135,True,True,True,24418.980263654805,1393.4383989381136,2.8903861029769957,2.836822399140082,0.03402590561484228,2.8708483047549245,0.03512587360850439,1.4354241523774622,0.7549237732399331,14.105650914546287
-108.0,0.002501071361551669,0.0001253789168290333,True,True,True,25210.713615516688,1453.789168290333,3.1358161822346378,3.0777042472584704,0.03665057374216152,3.114354821000632,0.03508638342706885,1.557177410500316,0.819591695148061,15.680166382934281
-106.0,0.0025801504785275316,0.0001316629556644556,True,True,True,26001.504785275316,1516.629556644556,3.3971023806199434,3.3341483740144637,0.03943410809542325,3.373582482109887,0.0350491322286833,1.6867912410549435,0.8884606101874806,17.388218688269824
-104.0,0.0026587637879991275,0.0001382056760516399,True,True,True,26787.637879991275,1582.056760516399,3.674562467820384,3.6064666602900863,0.042378962464201204,3.6488456227542874,0.03501396996544735,1.8244228113771437,0.9616162803115331,19.238295578768838
