time_s,generated_a_bits,generated_b_bits,delivered_bits,delivered_step_bits,pool_a_bits,pool_b_bits
-20.0,1478852.3488433985,66307.52276094421,66307.52276094421,5395.5239411735965,1412544.8260824543,0.0
-18.0,1494092.8459976863,72036.53776438056,72036.53776438056,5729.015003436347,1422056.3082333058,0.0
-16.0,1508674.0951954834,78113.5134294582,78113.5134294582,6076.97566507764,1430560.5817660252,0.0
-14.0,1522612.2144268577,84553.40046833847,84553.40046833847,6439.887038880275,1438058.8139585191,0.0
-12.0,1535924.1515918064,91371.62603857892,91371.62603857892,6818.225570240451,1444552.5255532274,0.0
-10.0,1548627.4908036133,98584.08477685905,98584.08477685905,7212.4587382801255,1450043.4060267543,0.0
-8.0,1560740.2785850684,106207.12482759681,106207.12482759681,7623.0400507377635,1454533.1537574716,0.0
-6.0,1572280.8692489134,114257.52808353727,114257.52808353727,8050.403255940459,1458023.3411653761,0.0
-4.0,1583267.7885174402,122752.48377605586,122752.48377605586,8494.95569251859,1460515.3047413845,0.0
-2.0,1593719.6142718617,131709.55447245092,131709.55447245092,8957.070696395065,1462010.0597994109,0.0
0.0,1603654.8732183767,141146.63345797523,141146.63345797523,9437.078985524306,1462508.2397604014,0.0
2.0,1613091.952203901,151081.89240449003,151081.89240449003,9935.258946514805,1462010.0597994109,0.0
4.0,1622049.0229002961,161533.7181589115,161533.7181589115,10451.825754421472,1460515.3047413847,0.0
6.0,1630543.9785928146,172520.63742743843,172520.63742743843,10986.919268526923,1458023.3411653761,0.0
8.0,1638594.381848755,184061.22809128332,184061.22809128332,11540.590663844894,1454533.1537574718,0.0
10.0,1646217.4218994929,196174.01587273838,196174.01587273838,12112.78778145506,1450043.4060267545,0.0
12.0,1653429.880637773,208877.35508454527,208877.35508454527,12703.339211806888,1444552.5255532279,0.0
14.0,1660248.1062080136,222189.2922494941,222189.2922494941,13311.937164948817,1438058.8139585196,0.0
16.0,1666687.9932468939,236127.41148086838,236127.41148086838,13938.119231374294,1430560.5817660254,0.0
18.0,1672764.9689119714,250708.6606786656,250708.6606786656,14581.24919779721,1422056.3082333058,0.0
20.0,1678493.9839154077,265949.15783295344,265949.15783295344,15240.497154287848,1412544.8260824543,0.0
22.0,1683889.5078565814,281863.9770459773,281863.9770459773,15914.819213023875,1402025.530810604,0.0
24.0,1688965.5282203571,298466.9142998986,298466.9142998986,16602.937253921293,1390498.6139204586,0.0
26.0,1693735.5524763498,315770.2335170808,315770.2335170808,17303.319217182172,1377965.318959269,0.0
28.0,1698212.612778258,333784.3940918127,333784.3940918127,18014.16057473194,1364428.2186864454,0.0
30.0,1702409.2728210643,352517.7618193899,352517.7618193899,18733.367727577162,1349891.5110016745,0.0
32.0,1706337.6364675523,371976.30600799446,371976.30600799446,19458.544188604574,1334361.330459558,0.0
34.0,1710009.3578043054,392163.28652074456,392163.28652074456,20186.980512750102,1317846.0712835607,0.0
