time_s,generated_a_bits,generated_b_bits,delivered_bits,delivered_step_bits,pool_a_bits,pool_b_bits
-196.0,7096.313844334019,0.0,0.0,0.0,7096.313844334019,0.0
-194.0,8458.859026909066,0.0,0.0,0.0,8458.859026909066,0.0
-192.0,11636.487726911264,0.0,0.0,0.0,11636.487726911264,0.0
-190.0,16637.27651663335,0.0,0.0,0.0,16637.27651663335,0.0
-188.0,21782.753885085807,0.0,0.0,0.0,21782.753885085807,0.0
-186.0,25924.790032950918,0.0,0.0,0.0,25924.790032950918,0.0
-184.0,28071.265177498248,0.0,0.0,0.0,28071.265177498248,0.0
-182.0,29948.52917175124,0.0,0.0,0.0,29948.52917175124,0.0
-180.0,35935.55572726826,0.0,0.0,0.0,35935.55572726826,0.0
-178.0,43189.137107848066,0.0,0.0,0.0,43189.137107848066,0.0
-176.0,48333.526295265896,0.0,0.0,0.0,48333.526295265896,0.0
-174.0,53273.326362249594,0.0,0.0,0.0,53273.326362249594,0.0
-172.0,58863.18316192241,0.0,0.0,0.0,58863.18316192241,0.0
-170.0,64302.53425140335,0.0,0.0,0.0,64302.53425140335,0.0
-168.0,68777.13337839699,0.0,0.0,0.0,68777.13337839699,0.0
-166.0,73317.81850531037,0.0,0.0,0.0,73317.81850531037,0.0
-164.0,77255.03243291046,0.0,0.0,0.0,77255.03243291046,0.0
-162.0,79441.69831861915,0.0,0.0,0.0,79441.69831861915,0.0
-160.0,83577.02014761671,0.0,0.0,0.0,83577.02014761671,0.0
-158.0,89497.12011176236,0.0,0.0,0.0,89497.12011176236,0.0
-156.0,95977.84577828289,0.0,0.0,0.0,95977.84577828289,0.0
-154.0,106008.9374429244,0.0,0.0,0.0,106008.9374429244,0.0
-152.0,118837.20688846649,0.0,0.0,0.0,118837.20688846649,0.0
-150.0,129351.68757091937,0.0,0.0,0.0,129351.68757091937,0.0
-148.0,137606.17185132485,0.0,0.0,0.0,137606.17185132485,0.0
-146.0,144778.97207519005,0.0,0.0,0.0,144778.97207519005,0.0
-144.0,151134.40703561963,0.0,0.0,0.0,151134.40703561963,0.0
-142.0,160842.80565757814,0.0,0.0,0.0,160842.80565757814,0.0
-140.0,172337.96531702625,0.0,0.0,0.0,172337.96531702625,0.0
-138.0,179444.85517340264,0.0,0.0,0.0,179444.85517340264,0.0
-136.0,182599.81718773537,0.0,0.0,0.0,182599.81718773537,0.0
-134.0,186687.94391758373,0.0,0.0,0.0,186687.94391758373,0.0
-132.0,196446.51316548855,0.0,0.0,0.0,196446.51316548855,0.0
-130.0,210566.82211839186,0.0,0.0,0.0,210566.82211839186,0.0
-128.0,224636.59880797227,0.0,0.0,0.0,224636.59880797227,0.0
-126.0,236112.07692473492,0.0,0.0,0.0,236112.07692473492,0.0
-124.0,246879.1865247378,0.0,0.0,0.0,246879.1865247378,0.0
-122.0,256387.36625022354,0.0,0.0,0.0,256387.36625022354,0.0
-120.0,265958.09168942965,0.0,0.0,0.0,265958.09168942965,0.0
-118.0,283271.0804946461,0.0,0.0,0.0,283271.0804946461,0.0
-116.0,301342.1105107663,0.0,0.0,0.0,301342.1105107663,0.0
-114.0,320067.7089288767,0.0,0.0,0.0,320067.7089288767,0.0
-112.0,339584.13500196184,55.31660992597771,55.31660992597771,55.31660992597771,339528.81839203584,0.0
-110.0,356907.4484472236,110.63321985195542,110.63321985195542,55.31660992597771,356796.81522737164,0.0
-108.0,375567.1957507781,110.63321985195542,110.63321985195542,0.0,375456.56253092614,0.0
-106.0,395046.62020913407,110.63321985195542,110.63321985195542,0.0,394935.98698928213,0.0
-104.0,421931.2458746136,110.63321985195542,110.63321985195542,0.0,421820.61265476164,0.0
-102.0,455372.7181758861,110.63321985195542,110.63321985195542,0.0,455262.08495603414,0.0
-100.0,482694.70385222224,110.63321985195542,110.63321985195542,0.0,482584.0706323703,0.0
-98.0,497769.4644880084,110.63321985195542,110.63321985195542,0.0,497658.8312681565,0.0
-96.0,513475.92758421256,110.63321985195542,110.63321985195542,0.0,513365.2943643606,0.0
-94.0,539644.2036796673,122.32248282632887,122.32248282632887,11.689262974373449,539521.881196841,0.0
-92.0,568646.4922005509,207.48134301734075,207.48134301734075,85.15886019101188,568439.0108575335,0.0
-90.0,593809.7560822989,644.2555057184873,644.2555057184873,436.7741627011465,593165.5005765804,0.0
-88.0,624858.4981188733,1213.551799829638,1213.551799829638,569.2962941111507,623644.9463190438,0.0
-86.0,653621.9429936823,1452.0034530827234,1452.0034530827234,238.4516532530854,652169.9395405996,0.0
-84.0,671460.5665233398,1484.463377709166,1484.463377709166,32.45992462644267,669976.1031456307,0.0
-82.0,687801.4041605201,1484.463377709166,1484.463377709166,0.0,686316.9407828109,0.0
-80.0,707434.8838445777,1746.5404881609031,1746.5404881609031,262.0771104517371,705688.3433564168,0.0
-78.0,731209.4209441945,2008.6175986126402,2008.6175986126402,262.0771104517371,729200.8033455819,0.0
-76.0,767151.3418347661,2194.412907428972,2194.412907428972,185.79530881633195,764956.9289273372,0.0
-74.0,808924.9604137562,2629.5324621602695,2629.5324621602695,435.1195547312973,806295.427951596,0.0
-72.0,840309.6729059715,3085.5500203376946,3085.5500203376946,456.01755817742514,837224.1228856338,0.0
-70.0,871060.7851715204,3928.2461796264606,3928.2461796264606,842.696159288766,867132.538991894,0.0
-68.0,899625.8373261078,4883.568749090856,4883.568749090856,955.3225694643952,894742.2685770169,0.0
-66.0,920850.6622149163,6139.7899121089085,6139.7899121089085,1256.2211630180527,914710.8723028074,0.0
-64.0,944259.4234912733,8150.602027600598,8150.602027600598,2010.8121154916898,936108.8214636727,0.0
-62.0,970178.4549183968,9224.512702512324,9224.512702512324,1073.9106749117254,960953.9422158845,0.0
-60.0,999280.4256362393,9328.776859887286,9328.776859887286,104.26415737496245,989951.648776352,0.0
-58.0,1032696.9435263985,9934.441968192516,9934.441968192516,605.6651083052293,1022762.501558206,0.0
-56.0,1063461.8094503065,11455.488462637637,11455.488462637637,1521.0464944451214,1052006.3209876688,0.0
-54.0,1091767.6243655966,13712.86811905246,13712.86811905246,2257.3796564148233,1078054.7562465442,0.0
-52.0,1118058.867249349,15380.446144557736,15380.446144557736,1667.578025505276,1102678.421104791,0.0
-50.0,1144651.4468316394,16542.976293534935,16542.976293534935,1162.5301489771991,1128108.4705381044,0.0
-48.0,1169836.5192284696,19201.068298896706,19201.068298896706,2658.09200536177,1150635.4509295728,0.0
-46.0,1187104.926841283,22538.08608426011,22538.08608426011,3337.017785363405,1164566.8407570228,0.0
-44.0,1202456.063298932,24565.90353286935,24565.90353286935,2027.8174486092394,1177890.1597660626,0.0
-42.0,1220622.7806660396,26120.425094730766,26120.425094730766,1554.5215618614166,1194502.3555713089,0.0
-40.0,1235886.7448566107,28099.779889559526,28099.779889559526,1979.3547948287596,1207786.964967051,0.0
-38.0,1253309.4991135483,32663.846304031304,32663.846304031304,4564.0664144717775,1220645.652809517,0.0
-36.0,1273522.1735045463,38161.930272550286,38161.930272550286,5498.083968518982,1235360.243231996,0.0
-34.0,1287966.348111152,42910.35768340922,42910.35768340922,4748.427410858931,1245055.9904277427,0.0
-32.0,1300628.506781339,48943.809251397535,48943.809251397535,6033.451567988319,1251684.6975299413,0.0
-30.0,1314647.6924891279,55576.81119591874,55576.81119591874,6633.001944521202,1259070.881293209,0.0
-28.0,1325663.9152772625,60685.43072745973,60685.43072745973,5108.619531540993,1264978.4845498027,0.0
-26.0,1337289.8996562725,63983.29210347361,63983.29210347361,3297.861376013876,1273306.607552799,0.0
-24.0,1349915.6057264358,67152.19137391298,67152.19137391298,3168.899270439375,1282763.4143525227,0.0
-22.0,1363706.9396287082,69961.31810948573,69961.31810948573,2809.126735572747,1293745.6215192224,0.0
-20.0,1377789.846710996,74964.53003943048,74964.53003943048,5003.211929944751,1302825.3166715656,0.0
-18.0,1392275.7792462697,80601.3310134996,80601.3310134996,5636.80097406912,1311674.4482327702,0.0
-16.0,1409532.6895881814,85184.46857811115,85184.46857811115,4583.137564611548,1324348.2210100703,0.0
-14.0,1425229.332756323,89639.97343237993,89639.97343237993,4455.504854268787,1335589.359323943,0.0
-12.0,1437469.0473110678,92688.36079662912,92688.36079662912,3048.3873642491817,1344780.6865144386,0.0
-10.0,1449797.663705866,97910.587536466,97910.587536466,5222.226739836886,1351887.0761694,0.0
-8.0,1464351.1374864052,103788.27043282657,103788.27043282657,5877.682896360566,1360562.8670535786,0.0
-6.0,1476720.4780379867,108995.87027114659,108995.87027114659,5207.59983832002,1367724.6077668401,0.0
-4.0,1488005.066640144,116732.41671594942,116732.41671594942,7736.546444802836,1371272.6499241944,0.0
-2.0,1497694.0509403856,126250.32682505589,126250.32682505589,9517.910109106466,1371443.7241153296,0.0
0.0,1503782.0302219368,136670.74372005597,136670.74372005597,10420.416895000075,1367111.2865018807,0.0
2.0,1509677.1566471017,149123.35431501435,149123.35431501435,12452.610594958387,1360553.8023320874,0.0
4.0,1516915.482231785,164301.39540224517,164301.39540224517,15178.041087230813,1352614.0868295399,0.0
6.0,1525215.0411108723,181654.8234511298,181654.8234511298,17353.42804888464,1343560.2176597426,0.0
8.0,1533628.2341688306,199346.25488714967,199346.25488714967,17691.431436019862,1334281.979281681,0.0
10.0,1543178.9135619425,215020.2745690446,215020.2745690446,15674.019681894919,1328158.638992898,0.0
12.0,1551156.252884307,225387.65563764688,225387.65563764688,10367.381068602292,1325768.5972466602,0.0
14.0,1557005.783680799,234693.86737417313,234693.86737417313,9306.211736526253,1322311.9163066258,0.0
16.0,1563788.9431284922,248586.16230548095,248586.16230548095,13892.294931307813,1315202.7808230112,0.0
18.0,1571912.6146253098,261960.18803439714,261960.18803439714,13374.025728916196,1309952.4265909127,0.0
20.0,1580088.0049692988,272656.50010814326,272656.50010814326,10696.312073746114,1307431.5048611555,0.0
22.0,1586534.4430754937,288114.14403941034,288114.14403941034,15457.643931267085,1298420.2990360833,0.0
24.0,1594458.2370930822,309573.6244049472,309573.6244049472,21459.480365536874,1284884.612688135,0.0
26.0,1603238.201181133,327878.5529004507,327878.5529004507,18304.928495503496,1275359.6482806823,0.0
28.0,1610407.2365231602,344991.1809279247,344991.1809279247,17112.628027473984,1265416.0555952354,0.0
30.0,1615579.4909414249,363994.24469736643,363994.24469736643,19003.06376944174,1251585.2462440585,0.0
