qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,elevation_deg,atmospheric_path_m,eta_atmospheric,eta_geometric,eta_pointing,eta_optical
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71053547355054,False,False,-600.0,0.0,3858391.045977445,-9.679468402040552,505212.8264405012,8.868940383288782e-06,0.00033580245286931026,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7735524979703035,False,False,-598.0,0.0,3844465.616633718,-9.587606216541339,505212.8264405012,8.868940383288782e-06,0.00033823913072031397,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2666548871793517,False,False,-596.0,0.0,3830536.411278565,-9.495537882247325,505212.8264405012,8.868940383288782e-06,0.0003407030970131563,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1192124033016002,False,False,-594.0,0.0,3816603.4574079663,-9.403261085758894,505212.8264405012,8.868940383288782e-06,0.00034319475799506397,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3095670378702982,False,False,-592.0,0.0,3802666.7826774484,-9.31077347916407,505212.8264405012,8.868940383288782e-06,0.0003457145274571878,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2608176722881137,False,False,-590.0,0.0,3788726.414904953,-9.218072679396277,505212.8264405012,8.868940383288782e-06,0.0003482628269022774,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862690374832467,False,False,-588.0,0.0,3774782.3820737684,-9.125156267577747,505212.8264405012,8.868940383288782e-06,0.00035084008571669226,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0814717608477595,False,False,-586.0,0.0,3760834.712335524,-9.032021788348258,505212.8264405012,8.868940383288782e-06,0.00035344674134687613,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9158065078114492,False,False,-584.0,0.0,3746883.4340132643,-8.938666749178868,505212.8264405012,8.868940383288782e-06,0.000356083239480425,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600757486668873,False,False,-582.0,0.0,3732928.5756045766,-8.845088619670149,505212.8264405012,8.868940383288782e-06,0.0003587500342318889,0.7943282347242815,0.7
