sigma,mean_bits,p05_bits,p95_bits
0,282293.26691595046,282293.26691595046,282293.26691595046
0.2,277306.4341916788,266920.1117764672,284709.06403366715
0.4,265215.4039669527,243784.52934718292,287031.4331629132
0.6,244068.71811752333,209241.08179025035,282013.091614637
0.8,216674.94550283244,166383.70159067708,273669.7386880962
