time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-600.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-598.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-596.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-594.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-592.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-590.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-588.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-586.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-584.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-582.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-580.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-578.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-576.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-574.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-572.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-570.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
