qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,elevation_deg,atmospheric_path_m,eta_geometric,eta_atmospheric,eta_pointing,eta_optical
0.17749590309920768,5.850875185217972e-06,1.038506374921008e-06,4.997690308401773e-12,467.15670747145253,82.91840168149785,0.0,0.0,3.8508913016542854e-05,3.8508913016542854e-05,1.0,False,True,-221.31797478304395,0.0,1694567.22115468,10.000000000000004,109897.73630081641,0.0017396848390527498,0.07962008501903471,0.7943282347242815,0.7
0.1736178677426847,5.989550949648384e-06,1.0398930646141247e-06,5.1471303213660185e-12,478.22912167729146,83.02912039806826,0.0,0.0,3.989567887079632e-05,3.989567887079632e-05,1.0,False,True,-220.21138490912872,0.0,1686872.256672716,10.11653695198813,108756.24841839363,0.0017555786850720863,0.08174054251545272,0.7943282347242815,0.7
0.16982011378986173,6.131878285768991e-06,1.0413162682348723e-06,5.3009012955646104e-12,489.59309161691147,83.1427545291141,0.0,0.0,4.1318960858108336e-05,4.1318960858108336e-05,1.0,False,True,-219.1047950352135,0.0,1679180.0932149899,10.233819771310467,107630.52523735678,0.0017716853695591134,0.08388701629526553,0.7943282347242815,0.7
0.16610210566572864,6.277925654074377e-06,1.0427766703546506e-06,5.459108361999456e-12,501.2540834433629,83.25935873348742,0.0,0.0,4.277944360331445e-05,4.277944360331445e-05,1.0,False,True,-217.9982051612983,0.0,1671490.781106569,10.351858477580707,106520.2508843995,0.0017880085708311113,0.08605923696854112,0.7943282347242815,0.7
0.1624632062308436,6.427762898477831e-06,1.0442749693783688e-06,5.621859760307854e-12,513.2176737672446,83.37898877456166,0.0,0.0,4.427782556633629e-05,4.427782556633629e-05,1.0,False,True,-216.89161528738308,0.0,1663804.3715305212,10.47066326415818,105425.11710381336,0.0018045520436177525,0.08825693252729931,0.7943282347242815,0.7
0.15890268610967068,6.581461293179867e-06,1.0458118780131077e-06,5.789266961824302e-12,525.4895533988686,83.50170155765144,0.0,0.0,4.5814819510906034e-05,4.5814819510906034e-05,1.0,False,True,-215.78502541346785,0.0,1656120.9165469352,10.590244501770439,104344.82305879396,0.0018213196208724698,0.09047982864112797,0.7943282347242815,0.7
0.15541973259048142,6.7390935905596705e-06,1.0473881237470112e-06,5.961444797181614e-12,538.0755311721009,83.62755516824916,0.0,0.0,4.739115298352234e-05,4.739115298352234e-05,1.0,False,True,-214.67843553955262,0.0,1648440.4691124137,10.710612742222075,103279.07513779133,0.0018383152156305664,0.09272764894087535,0.7943282347242815,0.7
0.15201345808725042,6.900734070114803e-06,1.0490044493386575e-06,6.138511588648442e-12,550.981537851898,83.75660891109827,0.0,0.0,4.9007568802890266e-05,4.9007568802890266e-05,1.0,False,True,-213.57184566563743,0.0,1640763.0831000991,10.83177872219191,102227.58676584045,0.001855542822915145,0.09500011529053097,0.7943282347242815,0.7
0.14868290815864954,7.066458588475327e-06,1.0506616133171774e-06,6.3205892874094724e-12,564.21363012763,83.88892335012467,0.0,0.0,5.066482556010774e-05,5.066482556010774e-05,1.0,False,True,-212.4652557917222,0.0,1633088.8133201888,10.953753367121223,101190.07822081153,0.0018730065216922811,0.09729694804740144,0.7943282347242815,0.7
0.1454270690831747,7.236344630528115e-06,1.0523603904934725e-06,6.5078036160138005e-12,577.7779946950448,84.02456034925443,0.0,0.0,5.236369812995564e-05,5.236369812995564e-05,1.0,False,True,-211.35866591780697,0.0,1625417.7155410212,11.076547795194642,100166.27645443828,0.0018907104768765464,0.09961786631087408,0.7943282347242815,0.7
0.14224487499323005,7.41047136167801e-06,1.0541015724827999e-06,6.7002842162162065e-12,591.6809524290032,84.16358311413887,0.0,0.0,5.410497819355893e-05,5.410497819355893e-05,1.0,False,True,-210.25207604389175,0.0,1617749.8465106925,11.200173321416921,99155.914918083,0.0019086589413883337,0.1019625881598541,0.7943282347242815,0.7
0.13913521457387817,7.5889196812819265e-06,1.055885968239088e-06,6.898164802456055e-12,605.9289626498662,84.30605623481655,0.0,0.0,5.588947477277911e-05,5.588947477277911e-05,1.0,False,True,-209.14548616997652,0.0,1610085.2639792582,11.32464146178745,98158.7333931193,0.001926856258264242,0.10433083087913698,0.7943282347242815,0.7
0.1360969373346465,7.77177227728874e-06,1.0577144046013087e-06,7.101583321225114e-12,620.5286274861566,84.45204572933766,0.0,0.0,5.771801477666711e-05,5.771801477666711e-05,1.0,False,True,-208.03889629606132,0.0,1602424.026721503,11.44996393757562,97174.47782585486,0.0019453068628219603,0.1067223111748907,0.7943282347242815,0.7
0.13312885946482308,7.959113682126116e-06,1.0595877268523182e-06,7.310682116595522e-12,635.4866963367817,84.60161908838411,0.0,0.0,5.959144356038814e-05,5.959144356038814e-05,1.0,False,True,-206.9323064221461,0.0,1594766.1945603366,11.576152679698925,96202.90016686,0.0019640152848809564,0.10913674537956669,0.7943282347242815,0.7
0.1302297692847268,8.151030329859535e-06,1.0615067992904179e-06,7.52560810217263e-12,650.8100704348335,84.75484532090516,0.0,0.0,6.151062549687105e-05,6.151062549687105e-05,1.0,False,True,-205.82571654823087,0.0,1587111.8283907867,11.703219833207305,95243.75821470244,0.0019829861510405325,0.11157384964623251,0.7943282347242815,0.7
0.1273984323063984,8.347610614677636e-06,1.0634725058141816e-06,7.746512939781414e-12,666.5058075172856,84.9117950008123,0.0,0.0,6.347644456172351e-05,6.347644456172351e-05,1.0,False,True,-204.71912667431565,0.0,1579460.990204669,11.83117776187564,94296.81546387202,0.0020022241870165177,0.11403334013285234,0.7943282347242815,0.7
0.12463359591867486,8.548944950734568e-06,1.065485750520848e-06,7.973553225181546e-12,682.5811266030411,85.07254031475726,0.0,0.0,6.548980493172053e-05,6.548980493172053e-05,1.0,False,True,-203.61253680040045,0.0,1571813.7431158742,11.960039052907959,93361.84095687918,0.0020217342200383216,0.1165149331765608,0.7943282347242815,0.7
0.12193399371226542,8.755125833390198e-06,1.067547458318693e-06,8.206890681130477e-12,699.043412882589,85.23715511102617,0.0,0.0,6.75516315972741e-05,6.75516315972741e-05,1.0,False,True,-202.50594692648522,0.0,1564170.151386367,12.089816521755676,92438.60914042876,0.0020415211813076513,0.11901834545817043,0.7943282347242815,0.7
0.11929834946093036,8.966247901897237e-06,1.0696585755538703e-06,8.446692358136994e-12,715.9002227231902,85.40571494958901,0.0,0.0,6.966287098937566e-05,6.966287098937566e-05,1.0,False,True,-201.39935705257,0.0,1556530.2804528729,12.220523217053248,91526.89972553389,0.002061590108520561,0.12154329415725929,0.7943282347242815,0.7
0.11672538077535513,9.182408003576482e-06,1.0718200706521334e-06,8.693130843253323e-12,733.1592887928773,85.57829715333718,0.0,0.0,7.182449162142266e-05,7.182449162142266e-05,1.0,False,True,-200.29276717865477,0.0,1548894.1969542888,12.352172425673961,90626.49755149824,0.0020819461484543715,0.12408949709802593,0.7943282347242815,0.7
0.11421380244652725,9.403705259516607e-06,1.074032934775799e-06,8.946384477263513e-12,750.8285253061845,85.75498086053794,0.0,0.0,7.403748474629434e-05,7.403748474629434e-05,1.0,False,True,-199.18617730473954,0.0,1541261.9687598408,12.48477767790893,89737.19245372535,0.002102594559621043,0.12665667288600135,0.7943282347242815,0.7
0.11176232949504977,9.630241131868424e-06,1.0762981824966598e-06,9.206637580680096e-12,768.9160333971822,85.93584707856257,0.0,0.0,7.630286502937594e-05,7.630286502937594e-05,1.0,False,True,-198.07958743082435,0.0,1533633.6649979928,12.618352752773195,88858.77913512195,0.0021235407149887008,0.12924454103625702,0.7943282347242815,0.7
0.10936967994331286,9.862119492752261e-06,1.0786168524850217e-06,9.474080688919286e-12,787.4301066213122,86.12097873890164,0.0,0.0,7.862167123771777e-05,7.862167123771777e-05,1.0,False,True,-196.97299755690912,0.0,1526009.3560861747,12.752911683440955,87991.05704118051,0.002144790104772828,0.13185282209284813,0.7943282347242815,0.7
0.1070345773265973,1.0099446694848148e-05,1.0809900082155717e-06,9.748910797100952e-12,806.3792365915829,86.31046075352428,0.0,0.0,8.099496694602634e-05,8.099496694602634e-05,1.0,False,True,-195.8664076829939,0.0,1518389.1137612872,12.888468762814473,87133.83023852725,0.0021663483392989876,0.13448123774007745,0.7943282347242815,0.7
0.10475575295915143,1.0342331643714082e-05,1.083418738690527e-06,1.0031331614910415e-11,825.7721187527419,86.5043800726173,0.0,0.0,8.342384125994084e-05,8.342384125994084e-05,1.0,False,True,-194.75981780907867,0.0,1510773.0111110825,13.025038549229343,86286.90729687628,0.0021882211519385912,0.13712951090573394,0.7943282347242815,0.7
0.1025319479708373,1.0590885871878488e-05,1.085904159180521e-06,1.0321553831979473e-11,845.6176582971077,86.70282574374032,0.0,0.0,8.590940955705582e-05,8.590940955705582e-05,1.0,False,True,-193.65322793516344,0.0,1503161.1226063753,13.162635872299873,85450.1011743348,0.002210414402119616,0.13979736585643904,0.7943282347242815,0.7
0.10036191512934332,1.084522361476521e-05,1.088447411983816e-06,1.0619795394278785e-11,865.9249762267169,86.90588897244439,0.0,0.0,8.845281424627374e-05,8.845281424627374e-05,1.0,False,True,-192.54663806124825,0.0,1495553.5241341833,13.301275838908216,84623.22910593661,0.0022329340784138173,0.1424845282854354,0.7943282347242815,0.7
0.09824442046250738,1.1105461888502133e-05,1.0910496672043548e-06,1.0926281792027021e-11,886.7034155658678,87.11366318439454,0.0,0.0,9.105522554599897e-05,9.105522554599897e-05,1.0,False,True,-191.44004818733302,0.0,1487950.2930317344,13.440973839341064,83806.112495339,0.0022557863017024795,0.14519072539298228,0.7943282347242815,0.7
0.09617824469469025,1.1371720569668151e-05,1.0937121235491857e-06,1.1241246359649059e-11,907.9625477284306,87.32624408903938,0.0,0.0,9.371784228172025e-05,9.371784228172025e-05,1.0,False,True,-190.3334583134178,0.0,1480351.508121482,13.581745553576967,82998.57680959304,0.0022789773284221343,0.1479156859595971,0.7943282347242815,0.7
0.09416218451052621,1.1644122477036316e-05,1.0964360091458591e-06,1.1564930588343135e-11,929.7121790445386,87.54372974487524,0.0,0.0,9.644189270356041e-05,9.644189270356041e-05,1.0,False,True,-189.22686843950257,0.0,1472757.249747048,13.723606957729153,82200.4514769028,0.002302513553892391,0.15065914041236766,0.7943282347242815,0.7
0.09219505365880279,1.1922793455366162e-05,1.0992225823803061e-06,1.1897584451836185e-11,951.9623574508944,87.76622062634561,0.0,0.0,9.922863532432343e-05,9.922863532432343e-05,1.0,False,True,-188.12027856558734,0.0,1465167.5998101914,13.86657433064716,81411.56978730737,0.00232640151572747,0.15342082088449804,0.7943282347242815,0.7
0.09027568390854936,1.2207862461304961e-05,1.102073132755812e-06,1.2239466745940994e-11,974.7233793494614,87.99381969242503,0.0,0.0,0.0001020793597786369,0.0001020793597786369,1.0,False,True,-187.01368869167214,0.0,1457582.6418088225,14.010664260681217,80631.768796198,0.00235064789733332,0.15620046126832066,0.7943282347242815,0.7
