seed,mean_rate_bps,median_rate_bps,p05_rate_bps,outage_fraction,time_outage_fraction,integrated_rate_bits
1000,829.3553514543961,0.0,0.0,0.757071547420965,0.7566666666666667,996885.1324481837
1001,779.7755490220334,0.0,0.0,0.7554076539101497,0.755,937290.2099244836
1002,764.8492731040542,0.0,0.0,0.7603993344425957,0.76,919348.826271073
1003,785.0470062544027,0.0,0.0,0.7487520798668885,0.7483333333333333,943626.5015177914
1004,804.6985828990522,0.0,0.0,0.7554076539101497,0.755,967247.6966446603
1005,776.5249473220368,0.0,0.0,0.7603993344425957,0.76,933382.9866810879
1006,772.6649599087735,0.0,0.0,0.7537437603993344,0.7533333333333333,928743.2818103454
1007,801.4449418789103,0.0,0.0,0.762063227953411,0.7616666666666667,963336.8201384499
1008,800.0338150006428,0.0,0.0,0.762063227953411,0.7616666666666667,961640.6456307722
1009,789.9708536830276,0.0,0.0,0.7637271214642263,0.7633333333333333,949544.9661269988
1010,798.0147973969061,0.0,0.0,0.7637271214642263,0.7633333333333333,959213.7864710805
1011,772.9917056397867,0.0,0.0,0.7554076539101497,0.755,929136.0301790239
