sigma,mean_bits,p05_bits,p95_bits
0,1063947.1248485397,1063947.1248485397,1063947.1248485397
0.2,993417.8093679085,979179.5219006496,1005020.3154194996
0.4,894855.4587474859,868242.2644833601,925101.2580179872
0.6,765010.9301617488,718237.1025297021,825249.6778333944
0.8,617995.7192503969,553482.8370847147,695368.323641068
