qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,elevation_deg,atmospheric_path_m,eta_atmospheric,eta_geometric,eta_pointing,eta_optical
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5477703448666593,False,False,-600.0,0.0,7135892.143506424,-29.157457869585684,505212.8264405012,8.868940383288782e-06,9.818653066641673e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163976121727619,False,False,-598.0,0.0,7123553.036223553,-29.085672455694432,505212.8264405012,8.868940383288782e-06,9.852695715789012e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323626479646957,False,False,-596.0,0.0,7111205.324602805,-29.01385832328188,505212.8264405012,8.868940383288782e-06,9.886939639900206e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589637847114758,False,False,-594.0,0.0,7098849.024594535,-28.94201530238453,505212.8264405012,8.868940383288782e-06,9.921386403581771e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7711692717844534,False,False,-592.0,0.0,7086484.152165611,-28.870143221716248,505212.8264405012,8.868940383288782e-06,9.956037586712847e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9100431808741648,False,False,-590.0,0.0,7074110.723299464,-28.79824190865539,505212.8264405012,8.868940383288782e-06,9.990894784624e-05,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7470147743117661,False,False,-588.0,0.0,7061728.753996119,-28.72631118923168,505212.8264405012,8.868940383288782e-06,0.00010025959608278533,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158458003942715,False,False,-586.0,0.0,7049338.260272237,-28.65435088811301,505212.8264405012,8.868940383288782e-06,0.0001006123368445623,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6355256966977942,False,False,-584.0,0.0,7036939.2581611555,-28.58236082859205,505212.8264405012,8.868940383288782e-06,0.0001009671865593965,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.259301515094956,False,False,-582.0,0.0,7024531.763712929,-28.51034083257269,505212.8264405012,8.868940383288782e-06,0.00010132416181702981,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8771245786726367,False,False,-580.0,0.0,7012115.792994367,-28.43829072055636,505212.8264405012,8.868940383288782e-06,0.00010168327937103478,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1606742369943033,False,False,-578.0,0.0,6999691.3620890835,-28.366210311628144,505212.8264405012,8.868940383288782e-06,0.00010204455614075568,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9304521059854342,False,False,-576.0,0.0,6987258.487097537,-28.29409942344279,505212.8264405012,8.868940383288782e-06,0.00010240800921327595,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8274478730866577,False,False,-574.0,0.0,6974817.184137066,-28.22195787221044,505212.8264405012,8.868940383288782e-06,0.00010277365584541378,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7417809435678782,False,False,-572.0,0.0,6962367.46934195,-28.14978547268235,505212.8264405012,8.868940383288782e-06,0.00010314151346574419,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1135459374533074,False,False,-570.0,0.0,6949909.358863434,-28.07758203813629,505212.8264405012,8.868940383288782e-06,0.00010351159967665041,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5587032474835032,False,False,-568.0,0.0,6937442.8688697945,-28.00534738036186,505212.8264405012,8.868940383288782e-06,0.00010388393225640287,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833915967550399,False,False,-566.0,0.0,6924968.015546372,-27.933081309645633,505212.8264405012,8.868940383288782e-06,0.00010425852916126812,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8148932513225308,False,False,-564.0,0.0,6912484.815095625,-27.860783634756004,505212.8264405012,8.868940383288782e-06,0.00010463540852764645,0.7943282347242815,0.7
