qber,gain,error_gain,double_click_gain,detection_rate_hz,error_rate_hz,rate_bits_per_pulse,rate_bits_per_second,eta_total_baseline,eta_total_faded,fading_factor,clipped,visible,time_s,cumulative_rate_integral_bits,distance_m,elevation_deg,atmospheric_path_m,eta_atmospheric,eta_geometric,eta_pointing,eta_optical
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6794961261426404,False,False,-600.0,0.0,4348697.350471533,-12.814763156879218,505212.8264405012,8.868940383288782e-06,0.00026435872677546015,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903465579435717,False,False,-598.0,0.0,4334922.209273118,-12.728943130327584,505212.8264405012,8.868940383288782e-06,0.00026604128276611636,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0641243958610567,False,False,-596.0,0.0,4321142.40264336,-12.642980855945373,505212.8264405012,8.868940383288782e-06,0.0002677405307328824,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6876855448341813,False,False,-594.0,0.0,4307357.953861325,-12.556874920014437,505212.8264405012,8.868940383288782e-06,0.0002694566908718331,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2434731744718668,False,False,-592.0,0.0,4293568.886295434,-12.4706238901329,505212.8264405012,8.868940383288782e-06,0.00027118998700643857,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9255141991699601,False,False,-590.0,0.0,4279775.223404823,-12.384226314906735,505212.8264405012,8.868940383288782e-06,0.000272940646659163,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7268513993810285,False,False,-588.0,0.0,4265976.988740728,-12.297680723635343,505212.8264405012,8.868940383288782e-06,0.00027470890112470987,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2968521997506073,False,False,-586.0,0.0,4252174.205947894,-12.210985625990789,505212.8264405012,8.868940383288782e-06,0.00027649498554495685,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0202283609098461,False,False,-584.0,0.0,4238366.898766014,-12.124139511690798,505212.8264405012,8.868940383288782e-06,0.000278299138985624,0.7943282347242815,0.7
nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045328746506218,False,False,-582.0,0.0,4224555.091031205,-12.037140850165054,505212.8264405012,8.868940383288782e-06,0.00028012160451472087,0.7943282347242815,0.7
