sigma,mean_bits,p05_bits,p95_bits
0,1744803.2241572342,1744803.2241572344,1744803.2241572344
0.2,1721919.0404665929,1679593.247248151,1764154.5591153756
0.4,1694678.7373321615,1600556.6355999508,1774181.2547086317
0.6,1663503.0412716554,1509001.4843328358,1804940.6977858094
0.8,1628717.180553623,1405150.9859715125,1848031.7741637472
