seed,mean_qber,median_qber,p95_qber,mean_rate_bps,median_rate_bps,p05_rate_bps,outage_fraction,pooled_qber,integrated_rate_bits,time_outage_fraction,rate_at_mean_efficiency_bps,rate_at_mean_efficiency_scope
1000,0.04758356698749066,0.026992286313853083,0.15756719045303552,4094.624658515691,1348.3636218034594,0.0,0.2942643391521197,0.01864004056157459,1816959.1440234084,0.2924999999999999,3831.5217963117148,single continuously open gate at mean eta; includes unavailable samples in mean eta
1001,0.04871174816670926,0.02802399401162345,0.14633112301378376,3820.399239275112,1205.097090143921,0.0,0.29925187032418954,0.01914740275109031,1695273.660110595,0.29749999999999993,3546.747736574212,single continuously open gate at mean eta; includes unavailable samples in mean eta
1002,0.050132589069746214,0.026942173312194125,0.15521196638565585,3775.4669786777968,1355.7915864845945,0.0,0.34413965087281795,0.019265342146382987,1675335.3046903615,0.34249999999999997,3485.1012441613634,single continuously open gate at mean eta; includes unavailable samples in mean eta
1003,0.049357861213358466,0.028929019446398526,0.15633830649760938,3789.209237165476,1092.9855053846334,0.0,0.30423940149625933,0.01921519251196875,1681433.3293693247,0.3025,3511.0550718876552,single continuously open gate at mean eta; includes unavailable samples in mean eta
1004,0.04567415973850972,0.02791020987946577,0.13637576447252617,3885.407668749771,1220.043003204967,0.0,0.30423940149625933,0.01900444455627402,1724120.6656906854,0.3025,3623.7077050966814,single continuously open gate at mean eta; includes unavailable samples in mean eta
1005,0.04943821601526623,0.027956688140766656,0.1670561057727102,3868.2643177235727,1213.9137236903143,0.0,0.32418952618453867,0.019062003032193457,1716513.4315718098,0.3225,3592.3485795151573,single continuously open gate at mean eta; includes unavailable samples in mean eta
1006,0.047963583733405014,0.02843193816556647,0.14285249159765892,3785.359202776673,1153.1166630655405,0.0,0.30673316708229426,0.01921317163507315,1679724.905332707,0.30499999999999994,3512.17895224725,single continuously open gate at mean eta; includes unavailable samples in mean eta
1007,0.04780904239568919,0.028263165773793203,0.14916917457350512,4009.8284347024246,1174.3233690032935,0.0,0.3092269326683292,0.018790859083490374,1779331.4523335868,0.3075,3743.2624162009965,single continuously open gate at mean eta; includes unavailable samples in mean eta
1008,0.05086836224589989,0.026657013078557956,0.16688163388982344,3621.896524332963,1398.9549165322676,0.0,0.34413965087281795,0.01956024742913331,1607189.561296431,0.34249999999999997,3337.5990006375014,single continuously open gate at mean eta; includes unavailable samples in mean eta
1009,0.04845098858694089,0.02625942716282238,0.14289831339651593,3706.6765971543114,1461.7939658871414,0.0,0.33665835411471323,0.0193838640116043,1644810.0861040829,0.33499999999999996,3424.72561278999,single continuously open gate at mean eta; includes unavailable samples in mean eta
1010,0.0488566302620013,0.02665499420035504,0.1664235862715151,4074.4881515599927,1399.266046586327,0.0,0.29177057356608477,0.018690151234642655,1808023.7192914356,0.29,3801.766238319321,single continuously open gate at mean eta; includes unavailable samples in mean eta
1011,0.047046723185139486,0.03064275553492787,0.13692464814901506,3520.148225091927,909.233561201233,0.0,0.32169576059850374,0.019724720521451276,1562039.512607513,0.32,3259.4223352149643,single continuously open gate at mean eta; includes unavailable samples in mean eta
